ordem_id,conta_id,ativo_id,lado,quantidade,preco,data_ordem,status
80,1018,3,Compra,3,29.49,2026-05-21,Executada
81,1034,9,Venda,9,99.89,2026-07-09,Executada
82,1023,7,Venda,7,99.42,2025-10-15,Executada
83,1054,4,Venda,29,14.47,2026-01-08,Executada
84,1054,9,Compra,23,98.31,2025-07-15,Pendente
85,1065,2,Compra,14,16.39,2025-12-09,Executada
86,1020,10,Compra,4,109.23,2026-07-23,Executada
87,1031,4,Compra,22,13.89,2025-01-04,Executada
88,1022,3,Venda,35,33.81,2025-04-24,Executada
89,1006,3,Venda,1,33.73,2025-09-02,Executada
90,1004,3,Compra,17,27.94,2026-03-09,Executada
91,1011,8,Venda,29,82.91,2025-04-23,Executada
92,1032,10,Venda,1,98.83,2025-02-02,Executada
93,1068,7,Compra,28,96.04,2026-04-01,Executada
94,1014,6,Compra,39,18.75,2025-10-10,Executada
95,1077,12,Venda,6,62.39,2026-06-29,Executada
96,1071,10,Compra,7,108.21,2025-04-29,Cancelada
97,1077,12,Venda,4,54.06,2025-08-23,Executada
98,1065,7,Compra,27,91.25,2025-11-18,Executada
99,1054,3,Compra,31,27.63,2025-03-30,Executada
100,1016,12,Venda,12,59.58,2026-07-25,Executada
101,1078,9,Compra,22,98.67,2026-03-11,Cancelada
102,1009,5,Venda,39,42.27,2026-06-05,Executada
103,1068,4,Venda,7,14.09,2026-01-13,Executada
104,1040,10,Venda,4,109.66,2026-07-26,Executada
105,1039,1,Venda,12,28.96,2025-11-14,Cancelada
106,1051,1,Compra,12,27.91,2026-02-16,Executada
107,1006,2,Compra,34,18.1,2026-04-11,Executada
108,1054,5,Compra,21,48.83,2025-06-10,Executada
109,1009,11,Venda,2,126.45,2026-03-12,Executada
110,1063,7,Compra,18,103.17,2025-04-28,Executada
111,1018,5,Venda,38,44.43,2025-11-13,Executada
112,1057,10,Compra,1,91.72,2025-08-06,Executada
113,1036,5,Compra,21,38.02,2026-03-18,Executada
114,1055,9,Venda,15,89.07,2025-02-14,Executada
115,1065,2,Venda,21,19.14,2026-03-05,Executada
116,1058,1,Compra,21,29.71,2026-04-18,Executada
117,1053,2,Compra,28,17.4,2026-02-16,Executada
118,1057,5,Compra,22,42.04,2025-06-23,Executada
119,1018,9,Compra,33,112.7,2025-12-25,Executada
120,1022,4,Compra,7,11.97,2025-06-28,Executada
121,1012,3,Venda,32,33.42,2026-04-06,Executada
122,1079,11,Venda,11,141.61,2025-11-21,Executada
123,1011,8,Venda,29,89.45,2025-02-28,Executada
124,1012,5,Venda,30,38.39,2026-01-14,Executada
125,1012,11,Venda,2,127.16,2026-07-23,Pendente
126,1008,8,Compra,37,78.47,2026-05-04,Executada
127,1010,8,Venda,7,93.76,2025-03-29,Executada
128,1026,1,Venda,16,31.17,2026-06-22,Executada
129,1024,6,Venda,24,20.68,2025-12-14,Executada
130,1009,11,Venda,11,112.88,2025-04-08,Executada
131,1056,5,Compra,17,42.04,2025-05-26,Cancelada
132,1046,11,Venda,12,115.15,2025-03-29,Executada
133,1055,11,Compra,6,134.62,2026-06-25,Executada
134,1061,9,Compra,24,97.31,2025-07-05,Pendente
135,1050,8,Compra,13,94.16,2025-06-09,Executada
136,1016,9,Compra,35,105.79,2025-05-16,Executada
137,1023,3,Compra,12,33.13,2025-02-15,Executada
138,1034,8,Venda,40,88.44,2026-04-06,Executada
139,1034,5,Compra,31,42.47,2026-03-29,Executada
140,1042,7,Venda,33,108.87,2025-07-25,Executada
141,1021,5,Venda,4,48.72,2026-07-23,Cancelada
142,1073,2,Compra,19,20.13,2025-10-08,Executada
143,1072,3,Compra,28,35.1,2025-08-17,Executada
144,1051,1,Compra,27,26.61,2026-01-19,Executada
145,1014,6,Compra,15,20.27,2025-04-13,Executada
146,1049,3,Compra,9,29.34,2026-04-30,Executada
147,1021,12,Venda,8,56.57,2025-03-24,Executada
148,1031,3,Venda,36,27.8,2025-10-24,Executada
149,1019,1,Venda,16,28.47,2026-04-15,Executada
150,1070,10,Compra,9,103.69,2025-09-06,Executada
151,1044,7,Venda,1,89.3,2026-03-04,Executada
152,1014,9,Compra,24,114.05,2026-07-13,Executada
153,1071,9,Venda,2,111.78,2025-02-15,Executada
154,1054,5,Venda,2,47.66,2025-12-21,Executada
155,1017,10,Venda,12,89.74,2025-12-28,Executada
156,1026,11,Venda,8,133.24,2025-05-20,Executada
157,1065,1,Compra,19,23.9,2025-07-25,Cancelada
158,1047,5,Venda,33,50.14,2026-07-12,Executada
159,1007,11,Venda,4,123.35,2025-02-19,Cancelada
160,1049,5,Venda,8,43.32,2026-02-15,Executada
161,1056,6,Venda,12,22.5,2026-01-13,Cancelada
162,1073,5,Venda,6,38.9,2025-07-05,Executada
163,1048,2,Venda,6,19.59,2025-11-11,Executada
164,1061,3,Venda,29,30.74,2025-12-29,Executada
165,1062,5,Compra,4,46.21,2026-02-21,Executada
166,1024,1,Venda,10,23.83,2025-03-11,Executada
167,1053,6,Compra,25,21.98,2026-04-07,Pendente
168,1054,8,Compra,5,83.28,2026-02-13,Executada
169,1040,4,Compra,8,13.7,2026-05-28,Executada
170,1078,2,Venda,17,19.82,2025-08-09,Pendente
171,1042,12,Compra,8,49.01,2025-03-18,Executada
172,1063,2,Venda,21,19.85,2026-07-19,Executada
173,1045,3,Venda,12,31.28,2025-05-06,Pendente
174,1021,4,Compra,32,12.35,2026-01-14,Executada
175,1077,3,Compra,40,27.41,2026-02-13,Pendente
176,1068,9,Venda,27,110.36,2025-03-18,Executada
177,1047,11,Venda,2,127.27,2026-06-15,Executada
178,1077,11,Compra,10,138.13,2025-05-14,Executada
179,1010,2,Compra,34,17.72,2025-06-16,Executada
180,1032,6,Venda,34,23.42,2025-09-15,Executada
181,1077,5,Venda,9,45.51,2025-04-07,Executada
182,1025,10,Compra,10,90.79,2025-12-13,Cancelada
183,1079,1,Compra,2,23.91,2025-09-30,Executada
184,1080,7,Compra,40,96.25,2026-07-14,Executada
185,1045,8,Venda,16,77.92,2025-03-17,Executada
186,1024,8,Venda,27,81.78,2025-12-16,Executada
187,1047,12,Venda,6,62.09,2025-05-15,Executada
188,1072,9,Venda,7,93.88,2025-05-07,Executada
189,1035,3,Compra,7,29.37,2026-01-30,Cancelada
190,1060,4,Venda,11,14.41,2025-11-18,Executada
191,1024,8,Venda,33,82.57,2025-11-13,Executada
192,1015,7,Venda,33,108.88,2025-08-10,Executada
193,1009,1,Venda,19,28.15,2026-04-28,Executada
194,1003,2,Compra,28,20.76,2026-01-11,Executada
195,1053,1,Compra,26,27.94,2025-07-20,Executada
196,1042,2,Venda,25,20.14,2025-10-15,Executada
197,1019,3,Venda,7,30.09,2025-12-15,Executada
198,1053,3,Venda,13,31.2,2025-02-17,Executada
199,1049,8,Venda,34,74.48,2026-06-13,Executada
200,1047,3,Venda,26,32.02,2026-06-05,Executada
201,1075,8,Venda,37,82.02,2025-01-19,Executada
202,1018,7,Venda,38,104.3,2025-01-29,Executada
203,1037,11,Compra,10,136.47,2026-05-08,Executada
204,1055,3,Compra,16,31.83,2025-04-24,Executada
205,1063,6,Compra,27,20.83,2025-07-29,Executada
206,1067,12,Compra,12,57.96,2026-06-17,Executada
207,1048,11,Venda,8,121.8,2025-06-28,Executada
208,1075,6,Venda,35,22.4,2025-09-29,Executada
209,1028,4,Venda,18,11.86,2025-11-02,Executada
210,1030,12,Venda,12,51.99,2025-12-25,Executada
211,1040,5,Venda,8,48.99,2026-02-10,Executada
212,1022,5,Venda,3,49.72,2025-03-23,Executada
213,1063,11,Venda,5,118.21,2026-07-07,Executada
214,1078,12,Compra,5,48.8,2025-09-04,Executada
215,1074,4,Compra,15,11.41,2025-12-06,Executada
216,1016,11,Compra,3,145.21,2025-06-12,Executada
217,1067,8,Venda,13,78.46,2025-03-03,Cancelada
218,1015,11,Compra,10,129.76,2025-02-09,Cancelada
219,1026,7,Compra,12,109.71,2026-02-12,Executada
220,1027,12,Compra,5,47.27,2025-04-21,Cancelada
221,1049,5,Venda,30,48.91,2025-05-19,Cancelada
222,1066,5,Compra,13,42.01,2026-04-16,Executada
223,1027,1,Venda,22,27.92,2025-07-18,Executada
224,1058,7,Venda,33,85.16,2025-04-09,Executada
225,1021,8,Compra,21,71.19,2026-01-29,Executada
226,1039,6,Compra,20,19.92,2026-01-05,Executada
227,1010,11,Venda,2,121.55,2026-02-21,Executada
228,1046,12,Venda,2,52.77,2025-08-16,Executada
229,1021,8,Venda,10,88.33,2026-01-19,Executada
230,1077,8,Compra,35,88.66,2025-03-26,Executada
231,1074,12,Compra,6,61.2,2025-04-26,Executada
232,1077,9,Compra,13,91.69,2026-06-18,Executada
233,1030,12,Venda,10,48.52,2026-06-08,Executada
234,1010,8,Venda,9,81.6,2025-03-02,Executada
235,1046,12,Venda,1,51.03,2025-01-05,Executada
236,1012,1,Venda,28,28.94,2026-07-10,Pendente
237,1011,8,Venda,3,80.49,2025-05-20,Executada
238,1060,6,Venda,25,23.56,2026-01-23,Executada
239,1076,3,Compra,23,28.39,2026-07-06,Executada
240,1020,12,Compra,4,58.73,2025-11-03,Executada
241,1076,7,Venda,35,105.02,2025-09-12,Executada
242,1023,5,Compra,13,38.32,2026-03-07,Executada
243,1004,4,Compra,14,11.41,2025-02-05,Executada
244,1009,4,Venda,3,12.63,2026-07-08,Executada
245,1010,3,Venda,33,28.88,2025-11-24,Executada
246,1048,4,Compra,20,14.6,2026-06-19,Executada
247,1045,5,Compra,4,45.66,2026-03-15,Executada
248,1009,6,Venda,25,22.52,2026-02-24,Executada
249,1055,3,Venda,35,28.94,2025-08-20,Executada
250,1022,8,Venda,4,93.42,2026-07-26,Executada
251,1056,4,Compra,17,12.24,2025-03-23,Cancelada
252,1054,2,Compra,35,16.4,2026-01-23,Executada
253,1008,2,Compra,13,18.64,2025-12-08,Executada
254,1003,4,Compra,13,13.74,2026-05-07,Cancelada
255,1030,7,Venda,16,103.73,2026-01-26,Executada
256,1052,5,Venda,17,44.26,2026-05-26,Executada
257,1067,6,Venda,14,20.23,2025-02-17,Executada
258,1032,12,Compra,3,51.13,2026-03-05,Executada
259,1029,6,Venda,15,21.77,2025-09-10,Executada
260,1050,5,Venda,32,43.62,2025-12-28,Executada
261,1076,8,Compra,12,83.15,2025-03-19,Pendente
262,1009,1,Compra,27,30.03,2025-08-26,Executada
263,1023,1,Venda,14,26.43,2026-05-11,Executada
264,1004,1,Venda,35,23.65,2026-06-28,Executada
265,1075,5,Venda,2,47.88,2025-07-04,Executada
266,1016,9,Compra,10,92.47,2026-06-25,Executada
267,1052,5,Compra,26,42.53,2026-02-21,Executada
268,1035,12,Venda,4,57.62,2025-03-25,Executada
269,1007,2,Venda,26,18.11,2026-05-04,Executada
270,1003,12,Compra,3,54.8,2026-03-22,Executada
271,1049,10,Compra,2,92.43,2026-05-03,Executada
272,1012,11,Compra,5,116.96,2025-11-20,Executada
273,1030,10,Venda,3,112.01,2025-11-04,Executada
274,1034,10,Venda,7,96.75,2025-05-25,Executada
275,1014,9,Compra,23,89.8,2025-08-27,Executada
276,1050,10,Venda,10,113.13,2025-12-02,Executada
277,1039,8,Compra,32,79.27,2026-01-21,Executada
278,1055,2,Venda,40,20.31,2025-03-18,Executada
279,1023,7,Venda,10,91.36,2025-04-21,Executada
280,1046,8,Venda,24,73.4,2025-04-01,Executada
281,1064,9,Venda,36,89.96,2025-04-03,Executada
282,1015,10,Venda,10,110.18,2025-01-14,Executada
283,1056,2,Compra,36,19.13,2025-06-24,Executada
284,1025,3,Venda,18,29.18,2025-05-31,Executada
285,1062,5,Venda,27,43.91,2025-03-21,Executada
286,1035,12,Venda,11,56.24,2025-07-21,Executada
287,1021,5,Venda,1,42.03,2026-01-26,Executada
288,1049,8,Venda,22,89.9,2025-05-21,Executada
289,1029,8,Compra,21,93.34,2025-11-24,Executada
290,1069,10,Venda,4,96.53,2026-02-08,Executada
291,1079,4,Compra,38,13.5,2026-07-19,Executada
292,1066,12,Venda,4,59.37,2025-03-13,Executada
293,1059,11,Compra,8,133.3,2025-09-06,Executada
294,1023,12,Venda,7,48.26,2026-05-07,Executada
295,1075,9,Compra,27,109.44,2026-01-05,Executada
296,1075,10,Compra,11,89.06,2025-09-13,Executada
297,1052,3,Compra,40,31.75,2026-02-15,Pendente
298,1049,7,Compra,7,85.48,2025-08-17,Executada
299,1073,9,Compra,38,99.66,2026-02-06,Executada
300,1071,3,Compra,23,31.05,2025-10-31,Executada
301,1014,2,Venda,10,17.76,2026-04-13,Executada
302,1073,8,Venda,23,73.29,2026-04-10,Executada
303,1045,1,Compra,8,30.08,2025-04-23,Executada
304,1025,12,Compra,4,55.6,2025-12-06,Executada
305,1066,4,Compra,26,11.72,2026-03-20,Executada
306,1029,8,Venda,38,80.03,2025-08-09,Executada
307,1011,10,Compra,2,96.24,2025-07-22,Executada
308,1037,11,Venda,8,131.99,2026-02-07,Executada
309,1051,6,Compra,30,23.23,2025-11-02,Cancelada
310,1014,11,Venda,3,114.75,2025-11-10,Executada
311,1054,12,Venda,3,53.55,2025-05-23,Executada
312,1061,3,Compra,32,31.68,2026-05-18,Executada
313,1027,6,Compra,29,23.54,2025-01-11,Executada
314,1028,7,Venda,36,93.85,2026-05-20,Executada
315,1063,8,Compra,11,84.11,2025-08-15,Executada
316,1040,4,Venda,35,11.66,2026-04-15,Executada
317,1070,9,Compra,33,103.26,2025-10-03,Executada
318,1053,9,Venda,3,102.51,2026-03-13,Executada
319,1035,5,Venda,3,41.17,2025-04-01,Executada
320,1019,4,Venda,14,14.15,2026-03-16,Executada
321,1021,4,Compra,14,13.1,2026-07-01,Executada
322,1075,3,Venda,21,29.36,2025-10-02,Pendente
323,1072,11,Compra,2,145.15,2026-02-27,Cancelada
324,1040,11,Compra,3,119.49,2025-11-27,Executada
325,1057,8,Venda,10,85.56,2026-01-21,Executada
326,1015,7,Venda,33,101.55,2026-01-14,Executada
327,1069,6,Compra,38,23.56,2025-04-07,Executada
328,1065,11,Venda,11,141.1,2026-07-03,Executada
329,1061,4,Venda,32,12.21,2025-10-19,Executada
330,1080,3,Venda,37,33.72,2025-02-20,Executada
331,1065,1,Compra,8,26.95,2025-01-02,Pendente
332,1061,4,Venda,9,11.62,2025-10-09,Executada
333,1053,5,Venda,6,46.13,2025-06-20,Executada
334,1046,12,Compra,12,53.71,2025-04-05,Executada
335,1001,4,Compra,31,11.53,2025-08-21,Executada
336,1063,1,Venda,1,29.83,2026-03-10,Executada
337,1068,2,Venda,15,16.59,2025-04-16,Executada
338,1054,5,Venda,9,47.48,2025-05-18,Executada
339,1022,2,Compra,34,19.33,2025-06-19,Executada
340,1031,11,Compra,12,143.61,2026-03-31,Cancelada
341,1015,2,Compra,9,19.22,2026-01-30,Executada
342,1061,6,Compra,9,20.02,2025-03-29,Executada
343,1042,12,Venda,1,50.28,2026-06-07,Executada
344,1057,5,Compra,4,44.04,2025-04-27,Executada
345,1012,9,Venda,1,113.5,2025-05-17,Executada
346,1079,7,Compra,24,103.38,2025-03-17,Executada
347,1011,1,Compra,17,23.87,2025-03-04,Pendente
348,1057,9,Venda,19,99.03,2026-02-17,Executada
349,1075,9,Compra,40,94.89,2025-11-15,Executada
350,1030,3,Venda,35,30.25,2025-03-10,Executada
351,1062,12,Compra,4,50.88,2026-03-22,Executada
352,1010,5,Compra,12,38.08,2025-05-22,Executada
353,1024,8,Venda,23,74.9,2025-05-11,Executada
354,1039,12,Compra,2,52.27,2026-03-17,Executada
355,1011,5,Compra,37,44.05,2026-06-09,Executada
356,1070,10,Venda,3,90.4,2025-04-17,Cancelada
357,1018,4,Compra,33,11.21,2025-01-14,Executada
358,1067,6,Compra,25,19.43,2025-02-07,Executada
359,1060,4,Compra,21,12.55,2025-11-25,Executada
360,1012,10,Compra,6,100.06,2025-02-24,Executada
361,1073,1,Compra,26,30.29,2025-10-18,Executada
362,1046,6,Venda,6,18.41,2025-07-26,Executada
363,1045,12,Compra,10,54.25,2026-05-22,Pendente
364,1029,12,Compra,9,49.44,2026-02-25,Executada
365,1076,6,Venda,1,18.37,2026-01-22,Cancelada
366,1046,2,Compra,14,18.33,2025-03-04,Pendente
367,1022,12,Compra,5,47.8,2025-08-27,Cancelada
368,1073,7,Venda,24,109.1,2025-03-29,Executada
369,1071,3,Compra,26,32.0,2025-03-06,Executada
370,1020,4,Venda,19,14.11,2026-02-08,Executada
371,1048,6,Venda,29,19.76,2025-07-28,Executada
372,1017,3,Compra,7,30.76,2025-11-19,Executada
373,1075,6,Venda,14,20.2,2025-09-30,Cancelada
374,1015,3,Compra,20,28.71,2025-12-03,Executada
375,1035,6,Compra,26,22.41,2025-09-25,Executada
376,1026,1,Venda,26,27.83,2026-07-19,Executada
377,1066,2,Compra,9,16.19,2025-08-17,Executada
378,1058,6,Venda,6,23.85,2025-03-19,Executada
379,1011,4,Compra,29,11.38,2025-12-07,Executada
380,1066,1,Venda,11,29.87,2026-02-10,Executada
381,1055,11,Compra,7,123.24,2025-07-12,Executada
382,1064,3,Compra,3,32.49,2026-05-27,Executada
383,1077,8,Compra,4,77.51,2025-05-22,Executada
384,1074,4,Compra,35,14.61,2026-01-04,Executada
385,1069,6,Venda,37,20.68,2025-07-05,Executada
386,1032,1,Compra,18,29.77,2026-04-30,Executada
387,1033,3,Compra,7,32.57,2025-10-01,Executada
388,1010,4,Venda,37,12.33,2025-06-28,Executada
389,1047,12,Venda,12,61.15,2025-01-30,Executada
390,1052,10,Compra,10,101.77,2025-07-13,Executada
391,1070,9,Compra,20,100.93,2025-04-04,Executada
392,1032,1,Venda,34,23.57,2025-07-27,Executada
393,1050,12,Venda,3,48.04,2025-06-02,Executada
394,1022,2,Venda,34,21.17,2026-01-19,Executada
395,1057,10,Venda,2,94.45,2025-05-21,Pendente
396,1062,11,Venda,8,116.78,2026-01-02,Executada
397,1026,7,Venda,20,86.25,2025-01-03,Pendente
398,1080,7,Compra,37,87.73,2025-11-23,Cancelada
399,1032,11,Compra,10,144.21,2025-05-26,Executada
400,1012,4,Venda,23,11.66,2025-04-02,Executada
401,1049,8,Venda,1,75.89,2025-03-12,Executada
402,1017,12,Compra,1,53.05,2026-03-07,Pendente
403,1059,8,Venda,25,83.66,2025-04-15,Executada
404,1080,11,Compra,11,116.36,2025-03-18,Executada
405,1007,5,Venda,2,41.15,2025-04-19,Executada
406,1025,7,Compra,11,97.57,2025-04-07,Executada
407,1068,12,Venda,1,61.59,2025-06-19,Executada
408,1062,3,Compra,4,29.72,2025-07-15,Executada
409,1077,12,Venda,12,57.26,2025-11-02,Executada
410,1009,7,Venda,37,86.96,2026-01-06,Executada
411,1015,5,Venda,39,40.39,2025-01-28,Executada
412,1044,2,Compra,31,17.74,2026-02-13,Executada
413,1037,2,Venda,35,17.1,2026-01-27,Executada
414,1064,1,Venda,17,27.13,2025-08-21,Executada
415,1079,1,Compra,10,24.22,2025-12-20,Executada
416,1059,10,Compra,4,109.54,2026-06-21,Executada
417,1075,11,Compra,8,127.65,2025-03-23,Executada
418,1007,9,Compra,37,90.44,2026-04-06,Executada
419,1025,4,Compra,13,11.2,2025-03-23,Pendente
420,1062,4,Venda,10,12.2,2025-03-11,Executada
421,1078,7,Venda,36,105.92,2026-06-18,Executada
422,1003,12,Venda,10,48.85,2025-06-04,Executada
423,1016,2,Compra,37,20.25,2026-07-04,Cancelada
424,1059,5,Venda,25,44.99,2026-05-01,Executada
425,1040,7,Venda,10,83.86,2025-12-07,Executada
426,1009,12,Venda,8,60.89,2025-01-22,Executada
427,1045,5,Venda,18,48.52,2025-04-12,Pendente
428,1033,3,Venda,20,33.59,2025-11-26,Executada
429,1060,10,Compra,11,91.26,2025-08-06,Cancelada
430,1059,12,Venda,8,59.73,2026-06-13,Executada
431,1011,5,Venda,33,39.6,2026-06-22,Cancelada
432,1006,3,Compra,13,34.14,2025-09-14,Executada
433,1009,6,Venda,13,20.56,2026-04-22,Executada
434,1019,11,Compra,1,123.91,2026-04-03,Executada
435,1067,10,Venda,9,95.64,2025-09-23,Executada
436,1015,5,Venda,2,38.54,2025-08-09,Cancelada
437,1032,11,Venda,4,133.95,2026-06-11,Executada
438,1003,8,Compra,9,84.94,2025-01-10,Executada
439,1046,12,Venda,12,53.63,2026-01-22,Cancelada
440,1065,5,Venda,14,41.66,2026-06-19,Executada
441,1057,10,Compra,2,100.32,2026-01-20,Executada
442,1042,5,Venda,7,38.71,2025-10-12,Executada
443,1040,5,Compra,20,39.78,2025-09-05,Cancelada
444,1058,11,Compra,6,136.46,2026-05-26,Pendente
445,1037,7,Venda,26,102.68,2025-07-15,Executada
446,1032,11,Venda,9,143.13,2026-01-04,Executada
447,1025,11,Compra,9,121.08,2026-04-29,Executada
448,1037,12,Compra,9,61.66,2025-12-11,Executada
449,1032,6,Venda,15,20.87,2025-12-07,Executada
450,1044,8,Venda,8,72.28,2025-03-15,Executada
451,1028,9,Venda,8,102.05,2026-03-01,Executada
452,1023,3,Venda,13,30.41,2026-04-15,Executada
453,1027,2,Venda,32,19.44,2025-07-02,Executada
454,1010,1,Venda,29,25.17,2025-06-23,Executada
455,1024,8,Compra,6,85.25,2026-03-17,Executada
456,1068,7,Compra,1,97.21,2026-01-19,Pendente
457,1048,9,Compra,13,106.21,2025-09-13,Executada
458,1051,5,Compra,9,42.66,2025-11-11,Executada
459,1008,5,Venda,19,46.91,2026-06-22,Executada
460,1021,6,Venda,32,22.85,2025-06-19,Pendente
461,1058,1,Compra,15,29.14,2025-05-16,Executada
462,1004,10,Compra,9,89.45,2025-02-09,Executada
463,1036,9,Compra,40,103.86,2025-02-20,Executada
464,1004,1,Venda,8,26.97,2025-05-08,Executada
465,1067,12,Compra,3,57.8,2025-01-11,Executada
466,1016,11,Venda,9,132.92,2025-05-22,Executada
467,1017,9,Compra,40,95.04,2025-04-20,Executada
468,1029,5,Compra,34,42.35,2026-02-25,Executada
469,1008,9,Compra,32,106.53,2026-05-09,Executada
470,1001,1,Compra,6,29.97,2026-05-22,Executada
471,1015,9,Compra,5,112.67,2025-08-26,Executada
472,1044,5,Compra,30,39.16,2025-06-29,Cancelada
473,1044,6,Venda,21,22.78,2025-04-09,Cancelada
474,1008,1,Compra,9,26.09,2026-03-26,Pendente
475,1039,12,Venda,2,59.63,2025-07-08,Executada
476,1058,8,Venda,18,86.99,2026-05-06,Executada
477,1025,2,Compra,9,21.28,2025-06-14,Executada
478,1068,10,Venda,11,91.08,2026-01-25,Executada
479,1006,11,Compra,12,127.89,2026-05-16,Executada
480,1059,8,Compra,3,77.09,2025-11-19,Executada
481,1074,12,Compra,10,62.13,2025-12-14,Executada
482,1016,7,Venda,16,92.14,2026-01-31,Executada
483,1078,10,Compra,1,104.02,2025-06-11,Executada
484,1067,8,Compra,11,88.42,2025-11-26,Executada
485,1040,1,Compra,33,27.79,2026-01-24,Executada
486,1034,2,Venda,30,20.33,2026-04-05,Executada
487,1070,8,Compra,21,93.72,2025-01-20,Executada
488,1059,1,Compra,36,29.9,2025-11-09,Cancelada
489,1078,4,Venda,30,12.36,2025-02-26,Executada
490,1065,6,Venda,36,22.65,2026-01-09,Executada
491,1018,2,Compra,15,17.92,2025-10-27,Executada
492,1054,12,Compra,2,60.89,2026-05-21,Executada
493,1059,2,Compra,17,17.11,2026-02-08,Executada
